;
1. Co je to počítačová grafika - alespoň 2 významy.;označení pro výstup popisu objektů - grafická data, procesy zpracovávání grafické informace pomocí počítače, oblast výpočetní techniky
2. Co je to OCR a jaké programy ho používají?;"Optical Character Recognition - optické rozpoznání znaků; metoda, která umožňuje scanneru digitalizaci tištěných textů, s nimiž pak lze pracovat jako s normálním počítačovým textem; použití - AdobeReader, Recognite"
3. Uveďte základní zdroje grafických dat pro zpracování či využití na počítači.;2D nebo 3D předloha, předloha sejmutá z obrazovky, existující data (clipart, Internet…), data vytvořená bitmapovým či grafickým editorem, data získaná OCR technologiemi
4. Jak se jmenoval první PC s grafickým rozhraním a kdy vznikl?;Xerox Star, 1981
5. Základní typy rozhraní.;rozhraní s příkazovým řádkem, textové celoobrazovkové rozhraní, rozhraní plně grafické
6. Jaký je rozdíl mezi textovým a grafickým režimem zobrazení na obrazovce?;textový režim si zobrazované objekty volá kódem z grafické karty, v grafickém režimu jsou objekty zobrazovány z bodu
7. Co jsou to primitiva?;"elementární prvky obrazu, patří mezi základní grafické prvky; body, přímky, úsečky, lomené čáry, kružnice, křivky, mnohoúhelníky, text"
8. základní grafické prvky;primitiva, obrysy, výplně, texty
9. grafická data;popis objektu grafického charakteru
10. grafické soubory;soubory obsahující základní grafická data
11. formát souboru;způsob jakým jsou data, která tvoří soubor, uložena do vnějších paměťových struktur počítače, jak se přenášejí v datovém toku a jak se obnovují
12. grafický formát;standard definující efektivní a logický způsob popisu a zpracování grafických dat a jejich další vlastnosti (ukládání, přenášení, organizování, obnovování)
13. metody popisu grafických dat;metoda rastrového popisu, metoda matice, metoda kvadrátového stromu, metoda vektorového popisu
14. Jaká je hlavní metoda rastrového popisu grafických dat?;popis objektu pomocí bodů/pixelů
15. Co jsou to bitmapová data?;číselné hodnoty popisující jednotlivé základní prvky obrazu - obrazové body (pixely) v euklidovském prostoru
16. Co je to kvadrátový strom a kde se používá?;metoda popisu grafických dat, algoritmus rozděluje obraz na čtvere, testuje jejich pokrytí a pokračuje v dělení, vhodné při větších stejně barevných plochách
